Printout for SDDS file out/ltu1/run.chs

       s        ElementName  ElementType      betax          betay          alphax         alphay          etax          etaxp           etay          etayp           psix           psiy           psi            enx            eny         pCentral0   
       m                                        m              m                                            m                             m                            rad            rad          radians           m              m           m$be$nc    
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  0.000000e+00        _BEG_         MARK   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.086074e-07   2.513977e-07   1.631685e+04 
  0.000000e+00       TWISS0        TWISS   3.108647e+01   1.405883e+01  -1.498796e+00   6.842346e-01   1.000000e-16   1.000000e-16   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.086074e-07   2.513977e-07   1.631685e+04 
  1.000000e-01          QLF         QUAD   3.123659e+01   1.399052e+01   1.810211e-07  -7.406799e-08   1.097509e-16   9.493886e-17   0.000000e+00   0.000000e+00   3.206520e-03   7.136107e-03   0.000000e+00   3.086077e-07   2.513971e-07   1.631685e+04 
  2.000000e-01          QLF         QUAD   3.108647e+01   1.405883e+01   1.498796e+00  -6.842347e-01   1.189725e-16   8.941992e-17   0.000000e+00   0.000000e+00   6.413041e-03   1.427221e-02   0.000000e+00   3.086079e-07   2.513965e-07   1.631685e+04 
  7.000000e-01          LM0     CSRDRIFT   2.961378e+01   1.476917e+01   1.446581e+00  -7.364502e-01   1.636825e-16   8.941992e-17   0.000000e+00   0.000000e+00   2.289303e-02   4.897821e-02   0.000000e+00   3.086079e-07   2.513965e-07   1.631685e+04 
  1.200000e+00          LM0     CSRDRIFT   2.819331e+01   1.553173e+01   1.394365e+00  -7.886657e-01   2.083924e-16   8.941992e-17   0.000000e+00   0.000000e+00   4.019804e-02   8.199698e-02   0.000000e+00   3.086079e-07   2.513965e-07   1.631685e+04 
  1.300000e+00          LM1     CSRDRIFT   2.791548e+01   1.569051e+01   1.383922e+00  -7.991088e-01   2.173344e-16   8.941992e-17   0.000000e+00   0.000000e+00   4.376259e-02   8.840280e-02   0.000000e+00   3.086079e-07   2.513965e-07   1.631685e+04 
  1.400000e+00          LM1     CSRDRIFT   2.763974e+01   1.585137e+01   1.373479e+00  -8.095519e-01   2.262764e-16   8.941992e-17   0.000000e+00   0.000000e+00   4.736267e-02   9.474370e-02   0.000000e+00   3.086079e-07   2.513965e-07   1.631685e+04 
  1.500000e+00          LM1     CSRDRIFT   2.736609e+01   1.601433e+01   1.363036e+00  -8.199950e-01   2.352184e-16   8.941992e-17   0.000000e+00   0.000000e+00   5.099870e-02   1.010202e-01   0.000000e+00   3.086079e-07   2.513965e-07   1.631685e+04 
  1.600000e+00          LM1     CSRDRIFT   2.709452e+01   1.617937e+01   1.352593e+00  -8.304381e-01   2.441604e-16   8.941992e-17   0.000000e+00   0.000000e+00   5.467113e-02   1.072327e-01   0.000000e+00   3.086079e-07   2.513965e-07   1.631685e+04 
  1.700000e+00          LM1     CSRDRIFT   2.682505e+01   1.634650e+01   1.342150e+00  -8.408812e-01   2.531024e-16   8.941992e-17   0.000000e+00   0.000000e+00   5.838042e-02   1.133818e-01   0.000000e+00   3.086079e-07   2.513965e-07   1.631685e+04 
  1.950000e+00           BK    CSRCSBEND   2.616050e+01   1.677347e+01   1.316042e+00  -8.669888e-01   2.754574e-16   8.941992e-17  -6.250000e-06  -5.000000e-05   6.781783e-02   1.284802e-01   7.654043e-26   3.086079e-07   2.513999e-07   1.631685e+04 
